episodes,rewards,ma_rewards
254,-250.2466020107159,-378.1902301783017
255,-248.2197835079483,-365.1931855112664
256,-492.45395262130546,-377.91926222227033
257,-584.7010648186968,-398.597442481913
258,-658.0884010786331,-424.546538341585
259,-513.052744203563,-433.3971589277828
260,-369.6162903746528,-427.01907207246984
261,-480.952831837994,-432.41244804902226
262,-366.6678694613018,-425.8379901902502
263,-501.536648583636,-433.40785602958874
264,-504.17260500565624,-440.4843309271955
265,-255.09203124541284,-421.9451009590172
266,-397.5797981238618,-419.5085706755017
267,-381.29324160776963,-415.6870377687285
268,-625.3489872428523,-436.6532327161409
269,-369.3230451440861,-429.92021395893545
270,-625.9576646019477,-449.5239590232367
271,-386.47448314553344,-443.2190114354664
272,-375.8654061155976,-436.48365090347954
273,-506.33142617400375,-443.46842843053196
274,-772.8253108740059,-476.40411667487933
275,-613.675784110902,-490.13128341848164
276,-742.977648254867,-515.4159199021202
277,-726.5624826625035,-536.5305761781585
278,-722.9321846093889,-555.1707370212816
279,-499.35878594171805,-549.5895419133253
280,-712.4947015856804,-565.8800578805608
281,-499.4627837383044,-559.2383304663351
282,-497.5890950762894,-553.0734069273306
283,-603.3816872278203,-558.1042349573795
284,-630.8917794767539,-565.3829894093169
285,-509.3072005695361,-559.7754105253389
286,-616.7110036209322,-565.4689698348982
287,-302.0124659419303,-539.1233194456014
288,-502.58076488821706,-535.469063989863
289,-490.79016328125783,-531.0011739190026
290,-561.084990627438,-534.0095555898461
291,-502.9344145146788,-530.9020414823293
292,-627.7852815797327,-540.5903654920696
293,-371.871949875569,-523.7185239304196
294,-616.7729963324502,-533.0239711706226
295,-624.0654214046094,-542.1281161940213
296,-629.836235639808,-550.8989281386
297,-504.9083285294378,-546.2998681776838
298,-619.3256969255584,-553.6024510524713
299,-737.7472829383042,-572.0169342410546
